epoch,m,b
813,1.56186,0.406151
814,1.5619,0.406029
815,1.56194,0.405908
816,1.56198,0.405786
817,1.56202,0.405665
818,1.56206,0.405543
819,1.56211,0.405422
820,1.56215,0.4053
821,1.56219,0.405179
822,1.56223,0.405058
823,1.56227,0.404936
824,1.56231,0.404815
825,1.56235,0.404694
826,1.56239,0.404573
827,1.56244,0.404452
828,1.56248,0.404331
829,1.56252,0.40421
830,1.56256,0.404089
831,1.5626,0.403968
832,1.56264,0.403847
833,1.56268,0.403726
834,1.56272,0.403605
835,1.56276,0.403484
836,1.56281,0.403363
837,1.56285,0.403243
838,1.56289,0.403122
839,1.56293,0.403001
840,1.56297,0.40288
841,1.56301,0.40276
842,1.56305,0.402639
843,1.56309,0.402519
844,1.56313,0.402398
845,1.56318,0.402278
846,1.56322,0.402157
847,1.56326,0.402037
848,1.5633,0.401917
849,1.56334,0.401796
850,1.56338,0.401676
851,1.56342,0.401556
852,1.56346,0.401436
853,1.5635,0.401315
854,1.56354,0.401195
855,1.56358,0.401075
856,1.56363,0.400955
857,1.56367,0.400835
858,1.56371,0.400715
859,1.56375,0.400595
860,1.56379,0.400475
861,1.56383,0.400355
862,1.56387,0.400235
863,1.56391,0.400115
864,1.56395,0.399996
865,1.56399,0.399876
866,1.56403,0.399756
867,1.56407,0.399637
868,1.56411,0.399517
869,1.56416,0.399397
870,1.5642,0.399278
871,1.56424,0.399158
872,1.56428,0.399039
873,1.56432,0.398919
874,1.56436,0.3988
875,1.5644,0.39868
876,1.56444,0.398561
877,1.56448,0.398442
878,1.56452,0.398322
879,1.56456,0.398203
880,1.5646,0.398084
881,1.56464,0.397965
882,1.56468,0.397846
883,1.56472,0.397727
884,1.56476,0.397607
885,1.5648,0.397488
886,1.56485,0.397369
887,1.56489,0.39725
888,1.56493,0.397132
889,1.56497,0.397013
890,1.56501,0.396894
891,1.56505,0.396775
892,1.56509,0.396656
893,1.56513,0.396537
894,1.56517,0.396419
895,1.56521,0.3963
896,1.56525,0.396181
897,1.56529,0.396063
898,1.56533,0.395944
899,1.56537,0.395826
900,1.56541,0.395707
901,1.56545,0.395589
902,1.56549,0.39547
903,1.56553,0.395352
904,1.56557,0.395233
905,1.56561,0.395115
906,1.56565,0.394997
907,1.56569,0.394879
908,1.56573,0.39476
909,1.56577,0.394642
910,1.56581,0.394524
911,1.56585,0.394406
912,1.56589,0.394288
913,1.56593,0.39417
914,1.56597,0.394052
915,1.56601,0.393934
916,1.56605,0.393816
917,1.56609,0.393698
918,1.56613,0.39358
919,1.56617,0.393462
920,1.56621,0.393344
921,1.56625,0.393227
922,1.56629,0.393109
923,1.56633,0.392991
924,1.56637,0.392874
925,1.56641,0.392756
926,1.56645,0.392638
927,1.56649,0.392521
928,1.56653,0.392403
929,1.56657,0.392286
930,1.56661,0.392168
931,1.56665,0.392051
932,1.56669,0.391934
933,1.56673,0.391816
934,1.56677,0.391699
935,1.56681,0.391582
936,1.56685,0.391465
937,1.56689,0.391347
938,1.56693,0.39123
939,1.56697,0.391113
940,1.56701,0.390996
941,1.56705,0.390879
942,1.56709,0.390762
943,1.56713,0.390645
944,1.56717,0.390528
945,1.56721,0.390411
946,1.56725,0.390294
947,1.56729,0.390177
948,1.56733,0.39006
949,1.56737,0.389944
950,1.56741,0.389827
951,1.56745,0.38971
952,1.56749,0.389594
953,1.56753,0.389477
954,1.56757,0.38936
955,1.56761,0.389244
956,1.56765,0.389127
957,1.56769,0.389011
958,1.56773,0.388894
959,1.56777,0.388778
960,1.56781,0.388661
961,1.56785,0.388545
962,1.56789,0.388429
963,1.56793,0.388312
964,1.56797,0.388196
965,1.56801,0.38808
966,1.56804,0.387964
967,1.56808,0.387848
968,1.56812,0.387731
969,1.56816,0.387615
970,1.5682,0.387499
971,1.56824,0.387383
972,1.56828,0.387267
973,1.56832,0.387151
974,1.56836,0.387036
975,1.5684,0.38692
976,1.56844,0.386804
977,1.56848,0.386688
978,1.56852,0.386572
979,1.56856,0.386456
980,1.5686,0.386341
981,1.56864,0.386225
982,1.56868,0.386109
983,1.56871,0.385994
984,1.56875,0.385878
985,1.56879,0.385763
986,1.56883,0.385647
987,1.56887,0.385532
988,1.56891,0.385416
989,1.56895,0.385301
990,1.56899,0.385186
991,1.56903,0.38507
992,1.56907,0.384955
993,1.56911,0.38484
994,1.56915,0.384725
995,1.56919,0.384609
996,1.56922,0.384494
997,1.56926,0.384379
998,1.5693,0.384264
999,1.56934,0.384149
1000,1.56938,0.384034
1001,1.56942,0.383919
